ID,Fruta,Cantidad,Precio,Fecha
99,Mango,41,0.87,2025-08-06
100,Manzana,12,4.24,2025-04-11
101,Frutilla,55,10.28,2024-07-02
102,Frutilla,36,7.37,2025-09-25
103,Mango,41,11.7,2025-01-13
104,Banano,9,10.19,2024-06-18
105,Uva,89,11.14,2025-04-18
106,Melón,21,2.66,2025-06-24
107,Melón,19,11.54,2025-03-29
108,Uva,16,7.36,2025-06-04
109,Uvilla,9,9.96,2024-11-03
110,Pera,5,4.65,2024-10-18
111,Manzana,53,6.94,2025-02-04
112,Naranja,63,9.07,2026-03-15
113,Piña,77,1.22,2025-01-11
114,Mango,51,3.37,2024-09-08
115,Naranja,9,13.67,2025-07-02
116,Banano,43,14.36,2025-10-18
117,Manzana,25,4.37,2024-11-08
118,Uvilla,87,1.56,2025-06-28
119,Naranja,39,11.7,2024-11-23
120,Naranja,39,13.18,2025-06-23
121,Mango,35,4.33,2024-06-21
122,Naranja,58,14.15,2025-08-10
123,Melón,63,1.21,2024-11-21
124,Pera,55,9.51,2025-06-30
125,Piña,50,13.34,2026-02-14
126,Manzana,93,9.53,2024-06-29
127,Manzana,61,9.8,2025-12-25
128,Banano,2,1.48,2024-09-01
129,Naranja,22,6.74,2024-09-01
130,Uva,59,7.8,2025-01-28
131,Uva,13,11.04,2024-10-07
132,Mango,9,13.19,2026-01-14
133,Piña,84,1.12,2025-01-19
134,Uva,5,2.11,2024-09-22
135,Uvilla,62,3.36,2024-06-26
136,Piña,90,1.21,2025-03-22
137,Uva,55,0.67,2025-12-26
138,Mango,32,14.9,2024-08-30
139,Naranja,36,1.37,2026-01-28
140,Uva,73,10.81,2024-12-11
141,Mango,16,9.98,2025-06-17
142,Piña,97,5.15,2024-12-17
143,Frutilla,23,0.53,2025-11-18
144,Manzana,27,14.78,2024-07-27
145,Uvilla,63,13.84,2025-11-08
146,Manzana,63,2.86,2025-05-12
147,Manzana,35,11.24,2025-12-30
148,Melón,58,4.9,2025-12-16
149,Piña,48,4.86,2024-09-24
150,Uva,45,4.73,2024-07-10
151,Piña,54,14.5,2026-03-15
152,Pera,51,9.61,2024-06-30
153,Manzana,37,10.42,2024-11-11
154,Banano,54,4.22,2026-03-15
155,Piña,17,12.45,2025-07-21
156,Mango,13,0.89,2026-03-13
157,Naranja,65,5.29,2024-09-27
158,Pera,73,6.02,2024-08-01
159,Pera,70,7.39,2024-10-07
160,Uvilla,38,4.55,2024-10-26
161,Piña,66,10.6,2026-05-03
162,Mango,64,10.19,2025-06-05
163,Melón,43,7.32,2026-05-20
164,Pera,68,12.92,2026-02-19
165,Naranja,99,3.04,2025-01-03
166,Naranja,10,1.42,2025-05-04
167,Naranja,14,10.35,2025-09-23
168,Manzana,13,9.82,2025-01-29
169,Naranja,56,1.35,2024-12-01
170,Mango,61,14.81,2025-11-29
171,Pera,78,0.66,2025-11-07
172,Uva,13,8.54,2025-07-24
173,Frutilla,60,8.74,2024-08-19
174,Mango,82,3.24,2025-11-05
175,Manzana,41,9.86,2025-06-29
176,Frutilla,6,13.92,2024-11-04
177,Uvilla,80,10.78,2025-09-01
178,Pera,15,7.56,2025-07-07
179,Uvilla,5,6.93,2025-05-01
180,Melón,59,7.78,2025-08-09
181,Frutilla,87,14.78,2026-05-16
182,Uva,40,12.12,2025-12-25
183,Pera,56,8.83,2025-07-31
184,Frutilla,76,12.42,2025-06-28
185,Manzana,42,11.87,2024-08-21
186,Frutilla,9,3.21,2024-08-03
187,Uva,65,11.87,2025-01-27
188,Melón,30,8.03,2024-09-05
189,Banano,19,1.88,2024-08-11
190,Piña,72,7.46,2025-10-30
191,Manzana,33,10.96,2024-09-01
192,Mango,77,1.83,2026-03-18
193,Banano,100,8.82,2024-08-23
194,Melón,80,1.38,2025-01-21
195,Naranja,38,0.92,2024-11-25
196,Naranja,5,9.25,2025-11-17
197,Pera,70,12.55,2025-05-15
198,Pera,1,11.85,2025-07-13
199,Piña,19,12.04,2025-04-20
200,Melón,96,9.72,2026-03-12
201,Uvilla,59,0.85,2024-07-08
202,Frutilla,27,3.14,2025-10-10
203,Manzana,29,1.99,2026-01-09
204,Mango,97,12.54,2025-06-05
205,Manzana,65,9.94,2026-03-15
206,Uvilla,7,13.22,2024-09-05
207,Melón,43,12.0,2025-10-30
208,Uvilla,27,0.67,2024-07-17
209,Melón,21,7.07,2025-10-10
210,Frutilla,47,8.19,2026-04-23
211,Piña,37,11.06,2025-11-11
212,Banano,56,5.44,2024-07-21
213,Mango,90,5.14,2026-04-01
214,Pera,76,6.02,2024-12-09
215,Banano,48,2.37,2026-05-03
216,Manzana,24,1.76,2025-11-20
217,Pera,51,5.52,2026-03-22
218,Melón,93,10.49,2026-05-08
219,Manzana,91,3.8,2026-05-21
220,Pera,49,3.01,2025-08-09
221,Uvilla,6,3.55,2025-05-22
222,Mango,61,14.57,2024-06-03
223,Pera,95,4.6,2026-01-05
224,Pera,98,12.49,2024-06-20
225,Melón,23,1.36,2024-12-14
226,Frutilla,83,14.12,2025-10-04
227,Frutilla,72,0.97,2025-06-02
228,Mango,98,1.05,2025-07-09
229,Uvilla,24,7.78,2024-12-15
230,Piña,88,14.27,2025-02-04
231,Uva,97,6.92,2025-05-16
232,Naranja,37,8.84,2025-04-20
233,Piña,31,13.13,2025-05-05
234,Manzana,39,5.05,2025-02-21
235,Manzana,46,2.74,2024-12-18
236,Mango,32,13.15,2024-06-06
237,Piña,8,0.97,2025-09-02
238,Uva,65,11.91,2026-04-23
239,Uvilla,96,11.6,2024-11-19
240,Uva,29,2.9,2024-10-02
241,Uvilla,62,9.92,2026-01-04
242,Frutilla,50,8.77,2025-06-19
243,Piña,90,5.64,2025-03-16
244,Frutilla,6,9.33,2026-01-21
245,Piña,99,6.34,2026-02-15
246,Manzana,51,10.82,2025-04-18
247,Banano,66,12.36,2026-01-10
248,Pera,86,14.08,2024-07-21
249,Frutilla,34,2.28,2024-10-08
250,Melón,41,14.13,2025-10-01
251,Piña,83,9.68,2025-01-03
252,Mango,59,9.74,2025-02-21
253,Mango,32,13.48,2024-12-14
254,Pera,97,12.98,2025-08-16
255,Naranja,45,12.07,2025-08-11
256,Naranja,100,13.37,2024-09-21
257,Uvilla,94,11.92,2026-05-23
258,Frutilla,20,14.03,2025-09-20
259,Piña,13,3.42,2026-04-11
260,Pera,19,7.98,2026-01-06
261,Frutilla,34,11.45,2024-06-07
262,Uva,91,3.72,2025-07-19
263,Manzana,6,1.65,2025-08-13
264,Melón,99,11.01,2024-08-29
265,Uva,84,9.6,2024-10-08
266,Mango,43,8.04,2025-12-09
267,Uvilla,5,2.97,2025-10-26
268,Mango,50,12.17,2025-10-20
269,Mango,13,5.65,2024-10-25
270,Pera,42,10.53,2024-12-05
271,Naranja,100,14.19,2024-08-04
272,Uvilla,65,2.07,2025-12-04
273,Pera,37,9.8,2025-04-07
274,Manzana,61,14.36,2026-05-07
275,Frutilla,34,3.12,2024-11-29
276,Naranja,9,5.89,2025-06-01
277,Frutilla,12,13.03,2025-11-25
278,Naranja,8,4.02,2025-06-12
279,Piña,66,9.15,2025-10-26
280,Melón,7,1.81,2026-02-05
281,Piña,96,5.41,2024-09-13
282,Mango,92,4.14,2026-04-18
283,Mango,78,5.39,2025-04-13
284,Pera,42,4.69,2025-04-30
285,Manzana,22,7.03,2025-04-27
286,Naranja,57,7.43,2025-03-07
287,Manzana,76,8.33,2024-09-20
288,Mango,80,7.9,2025-07-29
289,Uvilla,10,3.26,2025-10-22
290,Uva,75,1.83,2025-04-29
291,Banano,23,6.82,2025-05-04
292,Naranja,92,6.71,2024-09-24
293,Frutilla,64,9.78,2025-04-11
294,Uva,11,9.59,2025-11-27
295,Banano,14,2.61,2025-04-30
296,Uvilla,39,11.31,2025-07-01
297,Manzana,5,13.5,2025-12-16
298,Manzana,52,1.5,2026-04-29
299,Manzana,62,1.23,2025-01-01
300,Piña,77,12.13,2024-10-10
301,Melón,68,9.25,2025-10-14
302,Pera,93,11.54,2024-11-16
303,Pera,67,4.81,2025-09-22
304,Melón,50,14.76,2025-04-03
305,Mango,68,14.87,2026-03-02
306,Manzana,88,11.0,2025-10-03
307,Melón,11,8.99,2026-03-18
308,Uvilla,75,11.77,2024-08-07
309,Mango,7,1.18,2024-10-15
310,Uvilla,25,11.59,2025-02-15
311,Frutilla,44,14.07,2026-04-08
312,Frutilla,71,5.28,2026-05-02
313,Piña,34,13.24,2025-08-04
314,Naranja,97,5.76,2026-03-15
315,Piña,70,7.57,2026-02-28
316,Frutilla,16,11.78,2025-02-03
317,Frutilla,48,11.3,2025-07-16
318,Frutilla,39,6.41,2024-07-17
319,Piña,83,12.98,2024-08-23
320,Frutilla,25,12.44,2025-07-12
321,Frutilla,54,1.15,2026-05-07
322,Pera,93,10.87,2025-02-05
323,Uvilla,49,6.16,2024-09-22
324,Piña,22,3.29,2025-05-04
325,Naranja,85,5.29,2025-03-17
326,Piña,88,9.75,2025-04-19
327,Piña,84,1.89,2025-10-20
328,Mango,18,4.66,2025-04-26
329,Frutilla,91,11.96,2025-06-02
330,Uva,90,11.52,2026-03-20
331,Melón,95,2.96,2025-01-14
332,Naranja,41,11.36,2025-04-13
333,Pera,100,9.76,2025-03-09
334,Banano,74,14.04,2025-09-25
335,Manzana,37,12.5,2025-05-31
336,Manzana,21,9.75,2026-02-22
337,Manzana,17,3.34,2025-10-11
338,Uva,50,2.62,2024-12-25
339,Mango,90,10.26,2024-12-31
340,Uvilla,33,9.71,2024-07-04
341,Melón,75,6.41,2025-05-26
342,Frutilla,39,7.65,2025-09-23
343,Uvilla,78,2.5,2026-01-25
344,Mango,81,5.53,2026-04-14
345,Banano,79,2.49,2025-08-19
346,Naranja,100,2.38,2025-08-29
347,Naranja,97,14.51,2025-08-27
348,Piña,24,3.56,2024-09-26
349,Naranja,52,14.85,2024-11-03
350,Uva,52,6.15,2025-03-12
351,Mango,90,9.54,2025-08-29
352,Banano,97,0.83,2024-08-20
353,Melón,45,0.52,2024-08-29
354,Banano,92,14.68,2024-11-09
355,Melón,61,2.47,2024-12-25
356,Uvilla,69,13.23,2024-06-20
357,Melón,33,14.38,2025-03-18
358,Banano,13,12.67,2025-03-15
359,Manzana,59,13.26,2025-02-06
360,Uvilla,76,11.67,2025-05-06
361,Melón,82,2.97,2024-06-09
362,Uvilla,70,4.68,2024-11-06
363,Banano,78,0.89,2024-12-06
364,Naranja,46,10.15,2025-09-18
365,Uvilla,73,6.75,2025-08-16
366,Manzana,82,1.4,2024-09-10
367,Uvilla,43,4.98,2026-04-04
368,Naranja,74,10.8,2026-05-20
369,Manzana,91,10.42,2025-06-23
370,Piña,21,11.04,2025-08-04
371,Frutilla,35,13.19,2025-09-20
372,Melón,17,0.81,2024-09-16
373,Mango,84,12.52,2025-12-15
374,Frutilla,96,4.69,2025-09-06
375,Frutilla,69,5.72,2024-11-15
376,Manzana,90,5.38,2026-01-08
377,Uvilla,23,14.46,2024-08-26
378,Naranja,83,12.06,2026-05-26
379,Uvilla,15,11.39,2025-04-27
380,Banano,12,13.21,2026-03-13
381,Frutilla,32,2.48,2025-05-22
382,Manzana,46,4.82,2024-06-27
383,Piña,23,11.3,2025-02-02
384,Banano,37,9.64,2024-06-14
385,Pera,54,14.23,2025-03-02
386,Frutilla,16,3.96,2025-08-26
387,Pera,16,10.56,2025-11-16
388,Naranja,53,11.11,2025-04-11
389,Piña,54,8.48,2026-01-06
390,Pera,86,5.83,2025-12-11
391,Uva,8,4.87,2026-04-03
392,Uvilla,61,1.54,2025-03-24
393,Banano,100,2.82,2026-01-24
394,Naranja,21,3.28,2024-06-11
395,Melón,42,10.08,2025-06-08
396,Uvilla,29,10.82,2026-04-09
397,Melón,5,6.95,2025-12-18
398,Uva,35,8.03,2025-03-17
399,Mango,75,4.57,2025-07-05
400,Uva,83,6.77,2024-07-05
401,Uva,84,4.97,2025-05-21
402,Uva,34,9.78,2025-03-01
403,Piña,72,2.39,2024-12-14
404,Naranja,10,13.91,2024-11-27
405,Pera,13,12.47,2025-05-04
406,Melón,39,0.82,2025-03-16
407,Piña,45,4.75,2026-01-17
408,Banano,10,9.78,2025-12-12
409,Frutilla,33,14.75,2024-12-09
410,Uvilla,68,1.8,2025-06-03
411,Melón,97,13.26,2024-12-13
412,Melón,87,7.0,2026-05-23
413,Pera,10,14.48,2025-07-02
414,Mango,8,11.68,2025-02-10
415,Uvilla,65,12.87,2026-01-17
416,Pera,78,5.17,2024-12-18
417,Banano,31,1.53,2025-06-26
418,Banano,88,14.7,2025-01-13
419,Uva,33,9.93,2024-11-05
420,Naranja,72,3.14,2026-02-22
421,Uvilla,100,1.8,2025-06-23
422,Manzana,75,1.01,2025-07-08
423,Uva,83,9.71,2025-04-19
424,Uvilla,45,3.89,2026-05-06
425,Melón,74,2.38,2025-11-06
426,Frutilla,49,5.4,2026-03-14
427,Piña,9,3.55,2025-03-25
428,Uva,100,2.32,2026-02-22
429,Uvilla,62,9.93,2025-05-23
430,Frutilla,54,5.36,2025-05-20
431,Pera,25,6.77,2024-12-24
432,Naranja,44,2.29,2026-02-06
433,Piña,55,7.33,2024-06-07
434,Piña,13,11.78,2026-05-08
435,Pera,20,14.59,2026-02-26
436,Uvilla,84,4.53,2024-06-13
437,Pera,8,12.96,2026-02-21
438,Pera,98,4.8,2026-04-09
439,Naranja,81,4.61,2025-02-06
440,Uva,85,1.92,2025-08-19
441,Banano,24,14.29,2025-05-02
442,Naranja,43,12.06,2025-05-08
443,Banano,66,2.12,2024-08-06
444,Manzana,14,12.99,2025-09-28
445,Piña,73,13.98,2026-03-03
446,Uvilla,59,14.06,2024-12-22
447,Banano,46,8.63,2024-10-03
448,Mango,98,9.16,2024-10-23
449,Manzana,16,0.52,2024-06-02
450,Banano,30,3.5,2025-08-19
451,Melón,62,6.79,2024-07-27
452,Manzana,97,6.51,2025-03-08
453,Naranja,18,2.0,2025-03-11
454,Banano,87,1.8,2024-09-22
455,Piña,23,7.29,2025-12-17
456,Mango,12,9.2,2025-03-09
457,Frutilla,47,2.95,2026-04-06
458,Manzana,69,6.73,2025-12-15
459,Frutilla,50,5.77,2026-05-09
460,Uva,100,12.73,2026-01-06
461,Naranja,36,8.31,2025-09-09
462,Frutilla,89,6.91,2024-09-03
463,Piña,85,6.57,2024-07-30
464,Frutilla,36,7.65,2025-04-11
465,Melón,49,0.87,2025-11-13
466,Mango,11,10.22,2026-05-18
467,Frutilla,57,7.08,2026-05-14
468,Pera,95,4.63,2026-03-12
469,Pera,85,5.6,2025-09-03
470,Uvilla,80,6.88,2025-02-08
471,Banano,51,8.94,2026-01-06
472,Piña,25,1.41,2025-11-27
473,Mango,49,4.7,2025-03-13
474,Uva,25,11.4,2026-01-10
475,Mango,35,8.38,2026-01-26
476,Frutilla,5,7.47,2026-01-13
477,Melón,43,3.26,2026-03-18
478,Uvilla,35,10.13,2026-05-04
479,Uva,22,13.11,2025-10-10
480,Mango,64,1.79,2024-05-29
481,Manzana,72,8.37,2025-06-14
482,Melón,18,11.29,2024-10-19
483,Naranja,27,8.43,2024-09-28
484,Manzana,42,13.77,2024-09-25
485,Naranja,96,11.32,2024-11-11
486,Uva,2,1.37,2025-12-24
487,Uvilla,14,8.57,2026-03-26
488,Manzana,63,1.91,2025-03-24
489,Naranja,92,1.2,2025-02-10
490,Mango,36,8.71,2026-02-06
491,Piña,21,12.67,2024-11-06
492,Naranja,89,14.33,2025-08-31
493,Manzana,23,0.83,2026-03-04
494,Piña,65,3.13,2025-11-06
495,Frutilla,52,7.29,2025-03-09
496,Melón,19,0.99,2024-07-11
497,Piña,43,6.25,2026-04-26
498,Pera,70,11.15,2025-06-30
499,Manzana,100,5.64,2026-02-05
500,Uvilla,91,14.23,2025-10-21
501,Banano,94,6.65,2024-09-03
502,Frutilla,10,6.74,2025-03-20
503,Naranja,62,9.82,2024-06-12
504,Melón,65,9.79,2024-11-17
505,Uvilla,37,6.88,2024-11-22
506,Banano,9,0.92,2026-01-29
507,Banano,23,4.57,2024-09-25
508,Piña,43,4.13,2024-08-08
509,Naranja,29,14.45,2025-11-14
510,Piña,47,9.75,2024-11-11
511,Naranja,80,8.3,2025-05-22
512,Mango,37,5.08,2025-08-11
513,Piña,28,5.18,2026-03-07
514,Pera,10,2.93,2024-11-14
515,Piña,28,8.37,2024-11-08
516,Piña,31,9.36,2025-01-01
517,Uvilla,34,8.89,2024-06-14
518,Piña,74,5.27,2024-11-17
519,Frutilla,65,6.01,2025-10-29
520,Frutilla,79,2.14,2025-08-25
521,Frutilla,53,8.49,2025-10-20
522,Pera,72,14.56,2025-03-17
523,Melón,97,10.38,2025-03-01
524,Banano,26,7.9,2025-12-01
525,Frutilla,81,8.39,2024-07-27
526,Melón,37,11.44,2025-05-29
527,Frutilla,27,8.44,2024-09-09
528,Uva,47,2.42,2024-08-05
529,Piña,18,12.56,2024-06-19
530,Uva,63,8.5,2025-10-03
531,Uvilla,59,5.98,2024-11-26
532,Uvilla,7,8.82,2025-02-09
533,Mango,51,14.92,2024-10-07
534,Mango,74,8.97,2026-04-03
535,Manzana,97,11.14,2024-12-13
536,Uvilla,21,8.68,2026-01-14
537,Mango,8,7.78,2025-12-25
538,Uva,69,2.36,2025-10-17
539,Naranja,33,0.89,2024-11-30
540,Piña,58,6.87,2025-12-24
541,Manzana,18,9.64,2026-02-19
542,Mango,98,9.22,2024-06-04
543,Naranja,76,9.44,2025-09-15
544,Manzana,31,5.55,2024-07-16
545,Melón,9,10.44,2024-10-24
546,Naranja,66,7.18,2025-08-27
547,Frutilla,12,1.75,2024-05-28
548,Melón,100,1.7,2025-12-06
549,Uva,12,2.19,2026-03-30
550,Manzana,65,8.32,2026-04-17
551,Pera,13,14.96,2024-09-02
552,Piña,81,3.78,2025-11-16
553,Pera,4,14.08,2025-01-17
554,Uvilla,52,6.91,2024-07-12
555,Piña,49,11.47,2025-01-14
556,Banano,36,6.8,2026-01-23
557,Pera,6,7.76,2024-06-18
558,Frutilla,81,0.74,2025-09-14
559,Naranja,21,11.71,2025-09-17
560,Piña,96,6.18,2024-10-16
561,Melón,49,4.63,2025-08-07
562,Pera,94,9.14,2026-02-25
563,Melón,53,7.5,2026-02-19
564,Manzana,96,4.13,2025-08-27
565,Uvilla,59,14.44,2025-01-17
566,Uva,14,2.24,2025-07-26
567,Pera,65,4.35,2025-06-17
568,Naranja,75,6.17,2025-08-21
569,Mango,49,11.1,2025-02-16
570,Uvilla,21,13.16,2024-07-18
571,Manzana,16,2.76,2024-10-10
572,Piña,58,14.56,2025-11-08
573,Piña,82,3.88,2025-01-01
574,Uvilla,60,13.55,2025-11-03
575,Uvilla,82,2.06,2025-08-11
576,Melón,88,3.51,2024-10-31
577,Melón,27,12.34,2025-07-10
578,Mango,7,7.91,2026-05-04
579,Mango,37,3.52,2025-02-07
580,Pera,62,10.12,2026-04-21
581,Frutilla,95,7.68,2025-05-05
582,Manzana,56,10.27,2024-12-04
583,Uvilla,30,2.13,2024-12-15
584,Frutilla,10,0.79,2025-11-11
585,Uvilla,57,12.91,2025-03-19
586,Uvilla,33,4.02,2024-07-26
587,Piña,61,1.67,2024-07-15
588,Manzana,25,1.25,2026-02-01
589,Uva,70,9.99,2025-04-04
590,Naranja,63,8.58,2026-04-07
591,Mango,70,5.13,2025-01-22
592,Banano,88,2.92,2025-05-07
593,Banano,70,1.37,2026-05-05
594,Banano,61,4.31,2024-10-13
595,Frutilla,87,6.75,2026-04-04
596,Banano,10,4.94,2025-03-08
597,Mango,83,7.85,2024-10-04
598,Frutilla,89,12.63,2025-06-20
599,Uva,79,14.95,2025-09-24
600,Mango,4,3.25,2025-11-11
601,Mango,5,5.7,2026-01-18
602,Naranja,91,8.1,2025-03-25
603,Pera,54,8.75,2025-07-03
604,Frutilla,86,3.52,2025-01-20
605,Mango,29,14.99,2026-01-14
606,Uvilla,94,2.4,2025-08-09
607,Frutilla,41,5.68,2024-11-16
608,Frutilla,9,4.21,2025-11-06
609,Pera,53,5.32,2025-09-29
610,Frutilla,86,6.29,2025-02-17
611,Frutilla,5,13.98,2026-03-23
612,Manzana,74,1.17,2025-02-01
613,Mango,78,2.24,2024-12-20
614,Manzana,50,2.39,2025-02-13
615,Pera,8,7.42,2025-08-22
616,Banano,2,5.69,2025-11-30
617,Pera,20,14.67,2025-08-10
618,Uvilla,57,6.56,2025-11-29
619,Piña,7,6.63,2025-08-10
620,Naranja,27,14.81,2025-07-07
621,Uva,73,8.9,2024-06-20
622,Piña,55,4.27,2024-10-17
623,Piña,3,10.3,2025-07-14
624,Melón,30,1.57,2025-01-14
625,Naranja,65,10.24,2024-12-27
626,Banano,49,13.28,2026-02-22
627,Melón,57,5.95,2026-03-28
628,Pera,70,13.43,2025-07-15
629,Mango,57,5.96,2024-10-07
630,Manzana,94,11.88,2025-12-13
631,Manzana,28,6.65,2024-07-25
632,Frutilla,38,11.22,2025-03-17
633,Uvilla,88,2.59,2025-04-21
634,Uvilla,10,1.01,2025-11-05
635,Piña,86,12.88,2024-07-25
636,Banano,42,5.98,2024-10-09
637,Manzana,16,4.9,2026-02-19
638,Melón,40,9.61,2025-08-01
639,Mango,75,9.5,2026-05-11
640,Frutilla,100,9.79,2026-05-18
641,Banano,5,2.99,2024-10-19
642,Uva,15,4.42,2024-11-19
643,Manzana,78,9.87,2025-11-07
644,Pera,8,3.72,2025-09-03
645,Pera,24,3.51,2024-11-13
646,Piña,6,6.28,2025-01-09
647,Piña,62,9.68,2025-10-04
648,Manzana,54,11.63,2025-08-31
649,Uvilla,54,9.14,2025-10-28
650,Manzana,72,3.91,2024-06-08
651,Manzana,12,3.98,2025-07-18
652,Piña,59,13.09,2025-06-30
653,Piña,2,5.05,2026-04-05
654,Melón,27,9.31,2024-08-14
655,Mango,71,9.88,2025-07-07
656,Pera,45,5.14,2025-02-24
657,Frutilla,43,11.58,2026-04-05
658,Uvilla,37,14.02,2025-11-22
659,Pera,21,6.1,2025-02-23
660,Manzana,78,1.32,2025-09-03
661,Melón,83,14.37,2025-04-28
662,Frutilla,39,12.93,2024-05-31
663,Uva,10,11.53,2024-12-21
664,Mango,13,13.02,2025-03-20
665,Mango,49,3.3,2025-03-26
666,Manzana,4,6.48,2025-06-18
667,Frutilla,87,2.46,2024-06-10
668,Frutilla,93,7.21,2025-11-29
669,Manzana,95,14.69,2024-08-31
670,Piña,52,14.46,2026-02-16
671,Uva,17,1.91,2024-11-16
672,Uva,73,8.31,2026-04-24
673,Piña,26,3.72,2025-03-30
674,Melón,14,9.38,2024-11-26
675,Uvilla,13,2.0,2025-05-22
676,Manzana,43,5.72,2026-03-04
677,Pera,78,11.33,2026-05-26
678,Piña,81,14.84,2025-12-01
679,Uvilla,78,5.37,2025-04-28
680,Pera,67,4.65,2025-08-25
681,Naranja,36,7.12,2025-02-19
682,Melón,3,10.21,2025-11-17
683,Uvilla,81,14.65,2026-02-09
684,Uva,83,10.89,2024-10-22
685,Manzana,69,7.33,2025-10-12
686,Melón,11,7.21,2025-07-20
687,Frutilla,8,3.94,2025-05-27
688,Frutilla,1,11.67,2024-11-03
689,Pera,6,7.64,2025-01-11
690,Piña,18,5.97,2024-07-28
691,Banano,38,5.63,2026-02-13
692,Uva,79,4.71,2026-05-03
693,Frutilla,72,5.85,2025-12-20
694,Mango,97,0.8,2026-03-31
695,Pera,16,13.27,2025-08-04
696,Melón,62,9.56,2024-12-10
697,Piña,9,5.85,2024-10-31
698,Mango,97,12.61,2025-06-12
699,Banano,12,8.53,2024-06-21
700,Melón,28,9.94,2024-11-04
701,Manzana,74,2.24,2025-07-13
702,Uvilla,78,13.45,2024-07-01
703,Frutilla,20,3.4,2025-11-14
704,Melón,47,9.29,2025-07-18
705,Melón,42,14.84,2025-12-27
706,Pera,54,9.97,2024-09-27
707,Mango,68,2.48,2026-02-20
708,Banano,64,9.46,2025-03-16
709,Pera,8,3.36,2025-05-18
